step,reward,cpu_temp,gpu_temp,fan_rpm
378,5.496257,84.0,70.0,757.76904
379,6.812025,84.0,70.0,0.0
380,7.505514,84.0,71.0,1000.0
381,8.762384,86.0,70.0,549.8885
382,7.8745627,85.0,70.0,521.5778
383,8.7701645,85.0,70.0,1521.5779
384,7.6564355,89.0,70.0,2521.578
385,8.514607,89.0,70.0,1521.5779
386,-6.13265,93.0,71.0,1349.039
387,-20.273972,96.0,71.0,2228.6836
388,-20.344908,96.0,71.0,1955.6787
389,-18.97651,96.0,72.0,2955.6787
390,-19.564236,96.0,72.0,2864.181
391,-20.531498,96.0,72.0,3690.954
392,-22.01506,96.0,72.0,2937.7324
393,7.9865975,89.0,72.0,3168.0547
394,8.985315,88.0,72.0,2355.8948
395,9.765165,89.0,72.0,2057.3271
396,9.928712,89.0,72.0,3057.3271
397,10.120726,88.0,72.0,3191.305
398,11.448722,88.0,72.0,2588.6062
399,11.247152,89.0,72.0,2635.9353
400,9.794106,88.0,72.0,3411.9702
401,11.017379,89.0,72.0,2969.647
402,9.934342,89.0,72.0,2465.9194
403,9.033175,89.0,72.0,3465.9194
404,9.952897,89.0,72.0,4465.9194
405,9.643794,88.0,72.0,4941.6914
406,10.81775,88.0,72.0,4042.5713
407,10.221729,89.0,72.0,3834.812
408,10.888396,89.0,73.0,4834.812
409,10.564112,88.0,73.0,4386.2007
410,9.400619,89.0,73.0,4716.831
411,9.132344,88.0,73.0,4792.897
412,9.579473,88.0,72.0,5761.583
413,9.198917,88.0,72.0,5322.6133
414,9.728009,88.0,72.0,5315.973
415,9.795302,89.0,72.0,5114.0938
416,9.08962,88.0,72.0,5747.6025
417,9.95224,89.0,73.0,6000.0
418,9.03686,88.0,72.0,5000.0
419,8.909664,88.0,71.0,4005.3506
420,10.615448,88.0,71.0,3098.304
421,9.428876,89.0,71.0,2929.4902
422,10.470016,89.0,71.0,3929.4902
423,9.356297,88.0,71.0,4735.663
424,10.818344,88.0,71.0,4186.213
425,8.485011,88.0,71.0,5186.213
426,8.898761,89.0,71.0,4701.3735
427,8.807255,88.0,72.0,5063.193
428,9.733041,88.0,71.0,5008.41
429,11.377997,88.0,72.0,4008.4102
430,10.5345745,88.0,71.0,3008.4102
431,12.119427,89.0,72.0,2008.4102
432,11.814151,88.0,72.0,1008.41016
433,10.354368,88.0,72.0,561.0109
434,12.371477,89.0,72.0,0.0
435,13.465319,89.0,72.0,0.0
436,12.4168215,89.0,71.0,665.72217
437,11.691003,88.0,72.0,568.8773
438,10.928776,88.0,71.0,1244.511
439,11.055218,88.0,71.0,1709.383
440,9.958669,89.0,71.0,1349.7637
441,11.272628,89.0,72.0,1837.6388
442,12.997349,88.0,71.0,2073.4246
443,11.838536,88.0,71.0,1576.942
444,11.78545,89.0,72.0,2480.1272
445,11.5749235,88.0,71.0,2405.4683
446,11.79119,89.0,72.0,2143.3967
447,13.361252,89.0,71.0,1143.3967
448,12.684747,89.0,71.0,1588.7688
449,11.658306,89.0,72.0,1983.8805
450,11.920859,88.0,71.0,2563.4058
451,12.474501,89.0,72.0,1563.4058
452,11.269849,89.0,72.0,744.3677
453,9.759221,89.0,72.0,789.3424
454,10.086214,88.0,72.0,56.66095
455,10.548386,89.0,72.0,1056.6609
456,10.785498,89.0,72.0,1554.7085
457,9.518621,89.0,72.0,2554.7085
458,10.505486,89.0,72.0,2330.0647
459,9.975181,89.0,72.0,2725.0828
460,9.31656,89.0,72.0,2748.0676
461,9.141407,89.0,72.0,1748.0676
462,8.374106,89.0,72.0,2748.0676
463,7.8018336,89.0,72.0,3748.0676
464,8.414992,89.0,72.0,3834.2424
465,8.780118,90.0,72.0,4834.242
466,8.550921,89.0,72.0,4685.3174
467,8.520552,89.0,72.0,3685.3174
468,8.1074,90.0,72.0,3843.8855
469,8.138805,90.0,72.0,3539.6924
470,7.7982235,89.0,72.0,2539.6924
471,7.186522,89.0,72.0,2666.89
472,8.683874,89.0,72.0,2053.1042
473,9.896633,89.0,73.0,1629.1133
474,9.183129,89.0,73.0,629.1133
475,7.4484572,89.0,72.0,1629.1133
476,9.390007,89.0,72.0,1804.4635
477,8.689324,90.0,72.0,1145.26
478,8.107093,89.0,72.0,1138.2244
479,8.375715,89.0,72.0,2138.2244
480,8.395325,90.0,72.0,2508.025
481,9.379128,90.0,72.0,1508.0249
482,9.241431,89.0,72.0,2508.025
483,11.574765,89.0,72.0,1508.0249
484,12.884247,90.0,72.0,1848.5916
485,10.908805,90.0,72.0,1774.9194
486,11.846531,90.0,72.0,774.91943
487,12.785534,89.0,72.0,1182.9271
488,12.871633,90.0,72.0,768.5305
489,12.10334,89.0,72.0,1768.5305
